"","GeneSymbol","Initially.Assigned.Module.Color","KMEturquoise","KMEblack","KMEpink","KMEbrown","KMEblue","KMEgreen","KMEyellow","KMEmagenta","KMEred","KMEgrey"
"CD163","CD163","grey",-0.00402309229713825,0.0070344737620359,0.0282935384302324,0.00970213598364967,0.0149615930552394,0.00201015433048521,-0.00283130028244236,0.0162508872465964,0.0103967750717637,0.0196478831315944
"TAGLN","TAGLN","turquoise",0.707242390071959,-0.0515919536582425,-0.284506991973735,-0.405939253517482,-0.691912922712432,-0.528709598689665,-0.0571825297645179,-0.0215305038933073,-0.0935426917033686,-0.11035136570636
"SDS","SDS","brown",-0.0880326199626289,0.000617150331752434,0.145022229248976,0.0644693653009989,0.0753420644079404,0.238082720886123,0.000644795211738947,-0.0138754003374888,0.0401409772240847,0.080817008879862
"FABP4","FABP4","blue",-0.326390605623734,-0.0272095012200481,0.256689603423685,0.160358524112796,0.479711693406753,0.264662552881927,0.0115372689548251,-0.019178895301018,-0.0127271092406202,-0.0195829667140721
"HMOX1","HMOX1","brown",-0.0576540917587519,0.0378116554644742,0.104412632458967,0.167146974775774,0.119694187852636,0.156132669125326,0.0382514708161446,0.00429116079828519,0.053948288699779,0.0597160966530441
"AL603756.1","AL603756.1","grey",-0.0475645760780863,0.0114993844659519,0.0526707471081969,0.0613944364450032,0.0768750046137707,0.0296243115782584,0.0131970392098571,-0.00627243791542162,0.0137340002353561,0.0425845457971494
"CXCL2","CXCL2","grey",-0.018489725867693,0.0135241981820693,0.157864001392942,0.0744381524900356,0.114920289807746,0.0637214568092172,0.024277705452506,-0.00443518071117953,0.033128320626716,0.0214888503512236
"SLPI","SLPI","blue",-0.319676016410139,0.044108637117393,0.0154654614813974,0.19306623905679,0.389240355365593,0.241792932039695,0.0348277727610175,-0.0270921991882017,0.0481144929002934,0.0373977269889047
"TNFAIP6","TNFAIP6","brown",-0.18834768246678,0.00137014159366608,0.240167598433826,0.155500796716564,0.199152344674809,0.304093007227784,-0.00568458038701245,-0.00754343238837195,0.039439826919481,0.0925237201156406
"HSPA6","HSPA6","brown",-0.00107979198567083,0.00960964072396973,0.0249360726493611,0.300205000747043,0.0203271500668787,0.129225374279201,0.0547764337336163,0.11993241094343,0.0549363208037963,0.097289643998005
"CHI3L2","CHI3L2","green",-0.120788833634074,0.0180807610692876,0.209073923353277,0.069312963055374,0.131571379289747,0.39399549075863,-0.0532534781895111,-0.0255545246218718,0.0455828380163566,0.103767486973429
"HLA-DRB1","HLA-DRB1","grey",-0.0179125060007841,0.0207498415218828,-0.00735219493183164,0.044894575263363,0.0222034296677769,0.0313864319646336,0.0229345393887417,0.192012951942277,0.0314158181708796,0.0203323403893034
